"Veselovskýite","ZnCu4(AsO4)2(AsO3OH)2·9H2O","triclinic","Approved","GEN-5618","P-1","{""Zn"":1,""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Vésigniéite","Cu3Ba(VO4)2(OH)2","monoclinic","Approved,Grandfathered","R120149","C2/m","{""Cu"":1,""Ba"":1,""V"":1,""O"":1,""H"":1}",true
"Vestaite","(Ti4+Fe2+)Ti4+3O9","monoclinic","Approved","GEN-5620","C2/c","{""Ti"":1,""Fe"":1,""O"":1}",true
"Vesuvianite","(Ca,Na)19(Al,Mg,Fe)13(SiO4)10(Si2O7)4(OH,F,O)10","tetragonal","Approved","R050056","P4/nnc","{""Ca"":1,""Na"":1,""Al"":1,""Mg"":1,""Fe"":1,""Si"":1,""O"":1,""H"":1,""F"":1}",true
"Veszelyite","(Cu,Zn)2Zn(PO4)(OH)3·2H2O","monoclinic","Approved,Grandfathered","R150143","P2_1/a","{""Cu"":1,""Zn"":1,""P"":1,""O"":1,""H"":1}",true
"Viaeneite","(Fe,Pb)4S8O","monoclinic","Approved","GEN-5623","","{""Fe"":1,""Pb"":1,""S"":1,""O"":1}",true
"Vicanite-(Ce)","(Ca,Ce,La,Th)15As5+(As3+,Na)0.5Fe3+0.7Si6B4(O,F)47","hexagonal","Approved","GEN-5624","R3m","{""Ca"":1,""Ce"":1,""La"":1,""Th"":1,""As"":1,""Na"":1,""Fe"":1,""Si"":1,""B"":1,""O"":1,""F"":1}",true
"Vielleaureite-(Ce)","Mn2+Ce(MgAlMn2+)(Si2O7)(SiO4)F(OH)","monoclinic","Approved,Pending publication","GEN-5625","P2_1/m","{""Mn"":1,""Ce"":1,""Mg"":1,""Al"":1,""Si"":1,""O"":1,""F"":1,""H"":1}",true
"Vigezzite","(Ca,Ce)(Nb,Ta,Ti)2O6","orthorhombic","Approved","R060584","Pnma","{""Ca"":1,""Ce"":1,""Nb"":1,""Ta"":1,""Ti"":1,""O"":1}",true
"Vigrishinite","NaZnTi4(Si2O7)2O3(OH)(H2O)4","triclinic","Approved,Redefined","GEN-5627","P-1","{""Na"":1,""Zn"":1,""Ti"":1,""Si"":1,""O"":1,""H"":1}",true
"Vihorlatite","Bi24Se17Te4","hexagonal","Approved","GEN-5628","P-3m1","{""Bi"":1,""Se"":1,""Te"":1}",true
"Viitaniemiite","NaCaAl(PO4)F3","monoclinic","Approved","R060052","P2_1/m","{""Na"":1,""Ca"":1,""Al"":1,""P"":1,""O"":1,""F"":1}",true
"Vikingite","Ag5Pb8Bi13S30","monoclinic","Approved","GEN-5630","C2/m","{""Ag"":1,""Pb"":1,""Bi"":1,""S"":1}",true
"Villamanínite","CuS2","monoclinic","Approved,Redefined","GEN-5631","P2_1","{""Cu"":1,""S"":1}",true
"Villiaumite","NaF","cubic","Approved,Grandfathered","R060916","Fm3m","{""Na"":1,""F"":1}",true
"Villyaellenite","(Mn,Ca)Mn2Ca2(AsO3OH)2(AsO4)2·4H2O","monoclinic","Approved","GEN-5633","C2/c","{""Mn"":1,""Ca"":1,""As"":1,""O"":1,""H"":1}",true
"Vimsite","CaB2O2(OH)4","monoclinic","Approved","GEN-5634","C2/c","{""Ca"":1,""B"":1,""O"":1,""H"":1}",true
"Vincentite","Pd3As","monoclinic","Approved","GEN-5635","","{""Pd"":1,""As"":1}",true
"Vinciennite","Cu10Fe4SnAsS16","tetragonal","Approved","GEN-5636","","{""Cu"":1,""Fe"":1,""Sn"":1,""As"":1,""S"":1}",true
